Team,GP,MIN,PTS,W,L,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Acqua S.Bernardo Cantù,28,5625,2313,9,19,621,1190,52.18487,249,692,35.98266,324,429,75.52448,296,757,524,306,198,68,535,134
Allianz Pallacanestro Trieste,31,6200,2499,14,17,614,1204,50.99668,279,817,34.14933,434,579,74.95682,343,842,505,393,239,80,552,51
A|X Armani Exchange Milano,38,7600,2847,28,10,670,1328,50.45181,337,975,34.56410,496,653,75.95712,327,937,612,521,229,79,804,-335
Banco di Sardegna Sassari,33,6650,2838,20,13,671,1211,55.40875,368,1032,35.65891,392,525,74.66667,347,779,676,447,282,83,778,-110
Carpegna Prosciutto Pesaro,28,5625,2364,10,18,531,968,54.85537,289,708,40.81921,435,575,75.65217,234,738,492,338,192,64,522,93
De'Longhi Treviso,31,6225,2752,14,17,694,1201,57.78518,292,758,38.52243,488,622,78.45659,307,857,625,432,211,91,639,144
Dolomiti Energia Trentino,31,6250,2483,13,18,570,1086,52.48619,304,809,37.57726,431,571,75.48161,284,892,540,456,188,62,578,86
Fortitudo Lavoropiù Bologna,28,5600,2291,10,18,557,1083,51.43121,280,774,36.17571,337,429,78.55478,317,736,536,357,198,60,547,112
Germani Brescia,28,5650,2389,11,17,531,990,53.63636,296,737,40.16282,439,578,75.95156,233,728,441,370,196,71,537,90
Happy Casa Brindisi,34,6800,2641,23,11,666,1328,50.15060,298,856,34.81308,415,561,73.97504,306,883,485,427,205,56,733,-219
Openjobmetis Varese,28,5675,2433,10,18,575,1080,53.24074,299,776,38.53093,386,501,77.04591,282,763,507,293,173,67,571,162
UNAHOTELS Reggio Emilia,28,5625,2261,10,18,583,1070,54.48598,230,711,32.34880,405,525,77.14286,289,739,468,320,185,67,555,139
Umana Reyer Venezia,36,7250,2836,22,14,731,1412,51.77054,252,774,32.55814,618,832,74.27885,340,953,571,475,270,68,721,-49
Vanoli Basket Cremona,28,5700,2395,11,17,591,1138,51.93322,263,777,33.84813,424,551,76.95100,330,831,490,356,168,62,562,25
Virtus Segafredo Bologna,38,7625,2907,29,9,589,1306,45.09954,376,1106,33.99638,601,783,76.75607,384,939,619,522,312,92,760,-323
