Team,Player,GP,MIN,PTS,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Fortitudo Lavoropiù Bologna,Leonardo Totè,24,471,208,76,121,62.80992,7,32,21.87500,35,64,54.68750,17,73,27,27,13,20,45,-38
Fortitudo Lavoropiù Bologna,Marco Cusin,19,212,39,18,36,50.00000,0,0,,3,4,75.00000,11,28,9,22,5,7,54,-44
Fortitudo Lavoropiù Bologna,Matteo Fantinelli,22,564,130,48,83,57.83133,7,26,26.92308,13,18,72.22222,16,69,104,28,23,6,57,14
Fortitudo Lavoropiù Bologna,Mattia Palumbo,9,141,33,13,18,72.22222,1,9,11.11111,4,6,66.66667,7,20,7,9,5,1,14,-10
Fortitudo Lavoropiù Bologna,Mattia Pavani,3,3,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,-2
Fortitudo Lavoropiù Bologna,Nicolò Dellosto,3,12,0,0,1,0.00000,0,2,0.00000,0,0,,1,1,0,0,1,0,2,-1
Fortitudo Lavoropiù Bologna,Pietro Aradori,24,710,314,60,137,43.79562,48,125,38.40000,50,63,79.36508,9,83,62,33,20,0,43,-77
Fortitudo Lavoropiù Bologna,Stefano Mancinelli,17,199,31,8,20,40.00000,3,21,14.28571,6,11,54.54545,4,22,10,8,8,4,33,-108
Fortitudo Lavoropiù Bologna,Todd Withers,25,645,249,39,71,54.92958,46,112,41.07143,33,40,82.50000,17,82,29,19,27,24,49,25
Fortitudo Lavoropiù Bologna,Tommaso Baldasso,16,360,128,18,41,43.90244,23,69,33.33333,23,30,76.66667,4,43,35,30,16,0,26,-76
Fortitudo Lavoropiù Bologna,Tre'Shaun Fletcher,10,199,73,12,30,40.00000,15,32,46.87500,4,6,66.66667,5,32,12,11,7,4,17,-46
Fortitudo Lavoropiù Bologna,Ugochukwu Andrew Simon,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Fortitudo Lavoropiù Bologna,Vojislav Stojanovic,1,29,8,3,5,60.00000,0,2,0.00000,2,9,22.22222,2,3,4,0,2,1,2,-9
Fortitudo Lavoropiù Bologna,Wesley Saunders,14,330,186,71,121,58.67769,1,17,5.88235,41,44,93.18182,21,34,23,24,22,3,19,-36
Germani Brescia,Alessandro Bertini,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Germani Brescia,Andrea Ancellotti,7,45,10,4,10,40.00000,0,0,,2,2,100.00000,4,10,2,4,0,3,4,5
Germani Brescia,Andrew Crawford,26,667,270,76,149,51.00671,27,67,40.29851,37,46,80.43478,10,66,43,31,14,5,60,-43
Germani Brescia,Brian Sacchetti,26,552,149,17,34,50.00000,22,52,42.30769,49,56,87.50000,28,59,38,25,17,1,52,-60
Germani Brescia,Christian Burns,24,576,298,104,175,59.42857,11,54,20.37037,57,71,80.28169,52,114,16,31,36,8,71,31
