Team,Player,GP,MIN,PTS,P2M,P2A,P2p,P3M,P3A,P3p,FTM,FTA,FTp,OREB,DREB,AST,TOV,STL,BLK,PF,PM
Allianz Pallacanestro Trieste,Adrian Banks,29,913,485,111,197,56.34518,54,140,38.57143,101,112,90.17857,12,114,112,88,23,2,29,-66
Allianz Pallacanestro Trieste,Alessandro Lever,23,349,133,48,85,56.47059,9,30,30.00000,10,15,66.66667,19,46,16,17,2,1,40,-25
Allianz Pallacanestro Trieste,Andrejs Grazulis,30,857,307,97,161,60.24845,28,83,33.73494,29,45,64.44444,45,144,47,41,11,36,83,-61
Allianz Pallacanestro Trieste,Corey Davis,20,600,228,62,125,49.60000,23,73,31.50685,35,47,74.46809,9,45,81,53,29,2,43,-2
Allianz Pallacanestro Trieste,Corey Sanders,9,222,78,29,62,46.77419,2,8,25.00000,14,21,66.66667,2,21,41,15,6,2,12,-10
Allianz Pallacanestro Trieste,Daniele Cavaliero,29,370,83,4,25,16.00000,22,59,37.28814,9,9,100.00000,1,30,48,21,9,0,40,-36
Allianz Pallacanestro Trieste,Fabio Mian,30,693,220,34,80,42.50000,43,120,35.83333,23,30,76.66667,12,70,27,23,15,0,81,-93
Allianz Pallacanestro Trieste,Jason Clark,6,102,44,10,19,52.63158,6,20,30.00000,6,8,75.00000,1,11,5,2,3,0,7,22
Allianz Pallacanestro Trieste,Juan Manuel Fernandez,14,258,106,24,52,46.15385,13,48,27.08333,19,20,95.00000,2,24,43,20,6,0,38,-25
Allianz Pallacanestro Trieste,Lodovico Deangeli,23,190,33,13,22,59.09091,0,7,0.00000,7,13,53.84615,10,25,7,5,5,0,25,7
Allianz Pallacanestro Trieste,Luca Campani,1,4,2,1,1,100.00000,0,0,,0,0,,0,0,0,0,0,0,0,-2
Allianz Pallacanestro Trieste,Luca Campogrande,23,353,122,16,25,64.00000,23,63,36.50794,21,30,70.00000,10,24,7,12,8,1,43,27
Allianz Pallacanestro Trieste,Marcos Delia,28,615,283,107,181,59.11602,0,1,0.00000,69,106,65.09434,46,113,56,41,18,14,34,-55
Allianz Pallacanestro Trieste,Sagaba Konate,29,530,253,102,167,61.07784,0,3,0.00000,49,68,72.05882,51,121,26,53,13,26,86,-21
Allianz Pallacanestro Trieste,Stefano Longo,2,2,3,0,0,,1,1,100.00000,0,0,,0,0,0,0,0,0,0,6
Allianz Pallacanestro Trieste,Tommaso Fantoma,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Allianz Pallacanestro Trieste,Ty-Shon Alexander,4,42,10,2,9,22.22222,1,5,20.00000,3,5,60.00000,1,9,5,6,0,0,1,-36
A|X Armani Exchange Milano,Andrea Angelo Leoni,6,11,0,0,1,0.00000,0,1,0.00000,0,0,,0,0,0,2,0,0,3,-18
A|X Armani Exchange Milano,Benjamin Bentil,22,423,231,59,100,59.00000,25,65,38.46154,38,56,67.85714,27,72,24,20,13,2,33,87
A|X Armani Exchange Milano,Davide Alviti,29,404,148,30,46,65.21739,21,81,25.92593,25,29,86.20690,8,60,18,18,21,6,51,74
A|X Armani Exchange Milano,Davide Trovarelli,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
A|X Armani Exchange Milano,Devon Hall,31,763,292,63,131,48.09160,40,104,38.46154,46,63,73.01587,14,72,99,45,20,5,55,208
A|X Armani Exchange Milano,Giampaolo Ricci,34,541,174,37,66,56.06061,28,76,36.84211,16,19,84.21053,40,80,38,23,21,7,59,183
A|X Armani Exchange Milano,Gianmarco Fiorillo,2,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2
A|X Armani Exchange Milano,Giuseppe Invernizzi,1,2,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,-1
A|X Armani Exchange Milano,Jacopo Rapetti,2,5,0,0,1,0.00000,0,0,,0,0,,0,0,0,1,0,0,0,-11
A|X Armani Exchange Milano,Jerian Grant,29,659,222,42,93,45.16129,30,81,37.03704,48,61,78.68852,9,56,89,32,28,6,40,202
